X_Value Y_Value Z_Value a b c
-62.50068 17.91324 1.05 0 0 0 
38.10022 -6.691387 11.25 0 0 0 
47.39954 6.219564 -0.45 0 0 0 
-42.18655 8.091543 15.45 0 0 0 
-48.66915 5.12072 6.75 0 0 0 
18.84437 -9.782089 -0.75 0 0 0 
-59.68542 17.49577 7.35 0 0 0 
-61.07556 18.46916 6.75 0 0 0 
-57.35612 21.56202 1.35 0 0 0 
-23.36746 -5.344681 1.35 0 0 0 
35.64962 -8.34201 9.15 0 0 0 
-5.640203 2.959785 7.05 0 0 0 
30.8526 -12.23413 5.85 0 0 0 
-61.09269 20.29391 6.45 0 0 0 
-53.04869 4.043861 -1.05 0 0 0 
-55.51498 14.57559 4.05 0 0 0 
10.90312 -4.480526 8.55 0 0 0 
22.14633 -9.50449 8.55 0 0 0 
2.2668 1.307724 4.35 0 0 0 
-47.31325 7.796822 10.35 0 0 0 
36.22338 -6.413071 4.05 0 0 0 
25.86505 -11.59044 3.45 0 0 0 
-63.17863 16.57519 1.05 0 0 0 
-52.40499 9.031408 14.85 0 0 0 
-45.85389 4.703239 11.85 0 0 0 
8.174931 -2.829189 12.15 0 0 0 
-7.152387 1.170008 6.15 0 0 0 
0.6504254 0.1088314 6.15 0 0 0 
-32.99431 0.8781719 11.85 0 0 0 
18.3584 -5.298359 4.65 0 0 0 
35.68459 -6.812702 10.35 0 0 0 
-35.94873 0.3572273 2.55 0 0 0 
-58.78053 26.18491 10.05 0 0 0 
-58.17323 19.28555 2.85 0 0 0 
-45.19378 2.687241 5.85 0 0 0 
48.89387 4.655291 5.55 0 0 0 
-36.52177 3.607092 14.55 0 0 0 
48.35507 4.255655 13.95 0 0 0 
18.82725 -7.95734 5.85 0 0 0 
18.42761 -7.418549 17.55 0 0 0 
-62.0668 13.72496 1.95 0 0 0 
-2.303998 -0.4121132 0.45 0 0 0 
-62.04967 11.90021 1.95 0 0 0 
-17.91034 -3.468559 1.95 0 0 0 
-43.54243 5.415438 9.45 0 0 0 
14.8131 -5.923492 0.75 0 0 0 
-59.75463 19.61596 7.05 0 0 0 
11.38983 -3.785454 7.05 0 0 0 
48.35507 4.255655 3.15 0 0 0 
-2.21693 0.8217525 1.35 0 0 0 
32.22562 -11.38277 3.15 0 0 0 
-36.81721 3.554996 8.85 0 0 0 
-56.38274 22.95217 9.75 0 0 0 
-49.48626 2.844242 -0.75 0 0 0 
-18.11872 -2.286793 1.05 0 0 0 
-12.95704 -0.4627647 2.55 0 0 0 
-19.45677 -1.608841 5.55 0 0 0 
-38.13814 2.408199 10.35 0 0 0 
-10.38512 -1.227779 -0.45 0 0 0 
-40.20623 2.043539 1.65 0 0 0 
-52.1274 5.72945 9.75 0 0 0 
27.06394 -13.2068 3.15 0 0 0 
-48.59921 8.179333 9.75 0 0 0 
33.61577 -12.35617 -1.05 0 0 0 
-34.74911 3.919659 17.55 0 0 0 
-33.79356 1.955753 10.65 0 0 0 
-55.61989 9.987671 5.55 0 0 0 
-29.03224 -0.8602295 5.25 0 0 0 
-54.62938 9.55307 4.35 0 0 0 
-58.8519 12.76869 14.25 0 0 0 
33.56367 -12.06073 3.15 0 0 0 
-51.37951 10.12611 15.45 0 0 0 
-20.55219 -5.762161 0.15 0 0 0 
-27.31168 -0.2522221 15.45 0 0 0 
-60.41618 11.27436 0.75 0 0 0 
26.59509 -10.54782 1.05 0 0 0 
-59.49344 23.31755 -0.15 0 0 0 
4.195739 0.7339668 10.95 0 0 0 
-58.85119 17.94749 2.85 0 0 0 
-60.57246 12.16068 6.15 0 0 0 
31.21727 -14.30223 6.15 0 0 0 
47.97258 2.969702 10.95 0 0 0 
32.08646 -12.3212 4.65 0 0 0 
-41.71841 0.2537613 2.85 0 0 0 
44.20105 0.1722832 15.45 0 0 0 
-35.5491 -0.1815605 7.05 0 0 0 
-52.33578 6.911217 7.05 0 0 0 
-58.6949 17.06116 4.05 0 0 0 
-7.882425 0.1274014 6.75 0 0 0 
-30.37029 -0.1822834 5.25 0 0 0 
45.71322 1.962059 5.25 0 0 0 
-60.90215 15.75809 5.25 0 0 0 
12.71075 -2.638653 15.15 0 0 0 
9.009157 -2.37746 3.75 0 0 0 
27.89818 -12.75508 4.65 0 0 0 
14.84806 -4.394188 11.25 0 0 0 
26.31678 -12.42466 16.35 0 0 0 
16.68993 -6.201809 9.75 0 0 0 
-35.7746 2.824957 7.95 0 0 0 
-52.37002 10.56071 10.05 0 0 0 
-33.16771 3.589249 17.55 0 0 0 
-56.40059 19.59811 4.65 0 0 0 
24.33574 -11.55546 16.05 0 0 0 
-33.06353 2.998365 11.85 0 0 0 
-59.4071 19.37261 11.85 0 0 0 
-37.04343 1.382713 8.55 0 0 0 
30.9047 -12.52958 11.55 0 0 0 
-1.295636 2.507343 2.55 0 0 0 
48.40717 3.960215 1.65 0 0 0 
-41.21388 4.302887 16.65 0 0 0 
0.737493 1.342697 10.35 0 0 0 
-11.5669 -1.436159 7.95 0 0 0 
22.51099 -11.57259 -0.75 0 0 0 
-24.54851 -0.3742599 6.15 0 0 0 
-57.9663 7.746174 0.15 0 0 0 
-6.94401 -0.0117588 0.15 0 0 0 
-14.7818 -0.4798908 1.95 0 0 0 
-56.78381 13.13335 13.35 0 0 0 
-47.38391 -0.4405918 0.45 0 0 0 
-49.31214 5.31197 4.95 0 0 0 
-46.52967 18.9016 15.45 0 0 0 
-2.912009 1.308445 8.85 0 0 0 
-29.44973 -3.675495 3.75 0 0 0 
-29.48396 -0.02600098 8.25 0 0 0 
-61.77064 18.95585 4.95 0 0 0 
-44.1683 3.781942 10.05 0 0 0 
-18.24003 0.1288433 12.15 0 0 0 
-49.93798 3.678474 3.45 0 0 0 
15.10853 -5.871399 11.55 0 0 0 
-58.50436 12.52534 6.75 0 0 0 
-28.09454 -6.178192 0.45 0 0 0 
-37.14762 1.973597 16.05 0 0 0 
-13.54792 -0.5669518 13.35 0 0 0 
45.36569 2.205408 13.05 0 0 0 
-56.86944 22.25709 5.55 0 0 0 
-26.39111 -3.745438 3.75 0 0 0 
3.744011 1.568197 1.35 0 0 0 
26.56013 -12.07713 4.65 0 0 0 
19.0706 -7.609802 7.65 0 0 0 
-61.0049 26.70657 7.65 0 0 0 
13.89252 -2.430275 4.35 0 0 0 
49.95433 7.279301 3.45 0 0 0 
15.49104 -4.585438 8.55 0 0 0 
-46.02729 7.414316 10.95 0 0 0 
